1.020467699116E-17  1.178813457709E-1
1.944202579480E-17  1.178004832514E-1
3.564225464128E-17  1.276430243179E-1
6.291635180743E-17  1.364613133064E-1
9.910065371358E-17  1.498941776030E-1
1.502438179883E-16  1.714520804230E-1
2.277366358212E-16  2.014702476889E-1
3.452320376925E-16  2.335737313606E-1
5.037769451941E-16  2.782048985967E-1
7.349904278050E-16  3.404205055134E-1
1.032523125695E-15  4.109879599906E-1
1.506409971939E-15  5.028981509875E-1
2.370942158201E-15  6.153127553359E-1
3.592440993798E-15  7.631051951085E-1
5.873789985229E-15  9.088089464635E-1
1.036251973180E-14  1.053453938684E0
1.828681327352E-14  1.172717107130E0
4.540015267025E-14  1.287532247992E0
9.333824959392E-14  1.235548487750E0
1.649532325420E-13  1.123598786082E0
2.806963201599E-13  1.008150051381E0
4.962556939033E-13  8.686729806985E-1
9.115220554180E-13  7.187943780733E-1
1.494263836893E-12  5.948474724351E-1
2.544710516369E-12  4.791581436741E-1
4.501948026552E-12  3.756854981550E-1
8.592053090398E-12  2.945336559931E-1
1.578644476042E-11  2.340550620262E-1
3.376495581147E-11  1.785935537790E-1
6.203739713288E-11  1.419217276419E-1
1.097422244883E-10  1.127845288076E-1
2.175181616600E-10  8.961848112851E-2
4.310973845026E-10  7.217731322103E-2
8.226781479284E-10  5.735434064108E-2
1.455011246626E-9   4.682492572018E-2
2.776380738141E-9   3.771357995678E-2
5.298264025036E-9   2.996838501056E-2
9.371559918172E-9   2.413898820484E-2
1.788407407198E-8   1.918159170031E-2
3.412880120329E-8   1.524229006764E-2
5.810405314924E-8   1.278464648549E-2
1.196292241146E-7   1.002222527376E-2
